bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
RAMW11,0.0,0.0,0.0,0.0,527320.2636719532,86026.69391888249
RAIN21,0.0,0.0,0.0,0.0,351068.01303162356,391836.97610489256
RAIN12,0.0,0.0,0.0,0.0,351068.01303162356,391836.97610489256
RAIN11,0.0,0.0,0.0,0.0,351068.01303162356,391836.97610489256
RACW34,0.0,0.0,0.0,0.0,548748.5163255933,316600.31609428837
RACW33,0.0,0.0,0.0,0.0,548748.5163255933,316600.31609428837
RACW32,0.0,0.0,0.0,0.0,548668.381190569,316660.7947343154
RACW31,0.0,0.0,0.0,0.0,548668.381190569,316660.7947343154
RACW22,0.0,0.0,0.0,0.0,548748.5163255933,316600.31609428837
RACW21,0.0,0.0,0.0,0.0,548708.4485079249,316630.55524734326
RACO42,0.0,0.0,0.0,0.0,548668.381190569,316660.7947343154
RACO41,0.0,0.0,0.0,0.0,548668.381190569,316660.7947343154
RACO22,0.0,0.0,0.0,0.0,548748.5163255933,316600.31609428837
RACO21,0.0,0.0,0.0,0.0,548748.5163255933,316600.31609428837
QUOI5-,0.0,0.0,0.0,0.0,211699.51057062636,801902.0535322131
QUOI1Q,0.0,0.0,0.0,0.0,211699.51057062636,801902.0535322131
ALST31,0.0,0.0,0.0,0.0,332453.15091300366,183761.74852205144
QUER4B,0.0,0.0,0.0,0.0,346354.69751014514,459013.5801222054
ALST32,0.0,0.0,0.0,0.0,332453.15091300366,183761.74852205144
PYLE21,0.0,0.0,0.0,0.0,283042.54201858264,183230.01406855293
PYLE11,0.0,0.0,0.0,0.0,283042.54201858264,183230.01406855293
RANN1R,0.0,0.0,0.0,0.0,253186.35387580338,757960.8095338563
RASS41,0.0,0.0,0.0,0.0,315590.9035746327,212938.20922262536
PEHE2T,0.0,0.0,0.0,0.0,412733.4257806262,843038.0443710013
RATS11,0.0,0.0,0.0,0.0,450407.4729800618,329794.1886459553
RORW31,0.0,0.0,0.0,0.0,338133.84982172924,561273.5947438561
