bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
HARR3-,1066.9264845027303,0.0,26673.162112568265,1066.9264845027303,269467.6950944315,636226.1663856198
GRIF1T,1630.1549310974142,582.9582362032467,38457.02670548872,1047.1966948941676,293599.9944888333,744599.9795793779
GRUB3-,978.44782941837,0.0,14422.397969717313,978.44782941837,231056.22209769802,861811.7244503238
FOYE2J,971.30697485119,0.0,14317.14121170195,971.30697485119,249605.6513627468,820883.9188653013
TARL3-,958.848399491745,0.0,23971.20998729361,958.848399491745,352423.7318504426,807015.9560439939
ESST1-,873.4553676339216,0.0,21836.384190848035,873.4553676339216,345131.59349793557,620727.8769115425
SACO1Q,854.4216040722499,0.0,21360.540101806237,854.4216040722499,224544.80613688627,641270.642497196
NANT5-,781.5159297054655,12.5,8161.752138426182,769.0159297054655,186485.31015970482,728668.3186550036
SFIL1Q,753.901220790375,0.0,11112.563295845745,753.901220790375,272743.1852145549,728847.6612957693
ARMO1J,902.9033176480766,150.61070560283576,39893.6575054794,752.2926120452408,122255.00827441312,861108.6424961549
WFIE1A,754.0339050914664,7.110000000000001,19704.04762728665,746.9239050914664,319616.364919532,697440.975423195
GIFF2Q,674.67189040587,0.0,16866.79726014672,674.67189040587,256058.40895817956,658471.6705658337
CRAR3-,663.4639087251749,0.0,16586.59771812937,663.4639087251749,299983.9439361404,646179.373473354
FASN3-,582.540153581985,0.0,8586.687686040359,582.540153581985,232141.21457936545,829253.6196298874
LAGG1R,486.42090180101,0.0,7169.882354108932,486.42090180101,261497.57566459736,794335.6280708852
QUOI1-,461.39998776342,0.0,6801.0721130655,461.39998776342,211699.51057062636,801902.0535322131
FERO1-,458.2917095763605,0.0,6755.255848093035,458.2917095763605,186061.60759058554,688546.6805620089
CREA1B,432.56821510138496,0.0,6376.0895161380095,432.56821510138496,252589.0218711658,928364.0311092394
KILO3-,430.34622911866,0.0,6343.337267972621,430.34622911866,219543.7572270833,761882.2753802086
FYRI1J,377.684406167435,0.0,5567.097855325717,377.684406167435,260764.57483991826,869714.0446702401
DALL2-,376.9345743755799,0.0,5556.045275732471,376.9345743755799,216695.3725043698,727270.8798910107
INVR1C,363.41474996304,0.0,5356.762000430754,363.41474996304,231739.13932513262,718420.1990093448
Central DC Substation,329.98343898196015,32.0,3680.1792,297.98343898196015,361887.95529384253,1001664.1191882391
TUMM1J,280.01509109677,0.0,4127.4444685772505,280.01509109677,276258.1888625164,759017.7218436493
ERRO1K,236.230245478805,0.0,3482.0524000800438,236.230245478805,268276.47507254826,765267.15545545
MELG1J,216.737352252934,0.0,3194.72562063199,216.737352252934,246363.2756050438,795941.000909495
LOCH5J,215.4234711140545,0.0,3175.358909295839,215.4234711140545,248771.39617415576,736703.7517149188
SFIL5-,214.7587185013085,0.0,3165.56040349494,214.7587185013085,272743.1852145549,728847.6612957693
BRCW3-,203.533376661989,0.0,3000.097981805046,203.533376661989,283828.4739694565,710880.921138097
KINA2J,203.24061621379556,0.0,2995.782669770323,203.24061621379556,279272.0755003946,758929.7960883431
BLYT22,201.30131102093264,0.0,5032.532775523316,201.30131102093264,430013.9673082635,583076.0248502347
