wholesale_mwh,physical_mwh,bm_increase_mwh,bm_decrease_mwh,wholesale_mwh_baseline,physical_mwh_baseline,bm_increase_mwh_baseline,bm_decrease_mwh_baseline,delta_wholesale_mwh,delta_physical_mwh,delta_bm_increase_mwh,delta_bm_decrease_mwh,bess_mw,carrier
3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0.0,0.0,0.0,0.0,0,wind_offshore
3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0.0,0.0,0.0,0.0,0,wind_onshore
8717769.948678475,9030894.980218407,817297.8476359037,504172.8160959709,8717743.207060874,9034173.044542454,806431.0120999689,490001.1746183874,26.74161760136485,-3278.0643240474164,10866.835535934893,14171.6414775835,50,CCGT
1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,0.0,0.0,0.0,0.0,50,EU_import
64560.96912845283,61994.48406702741,4.3520564929622196e-10,2566.4850614258476,64560.96912845254,62068.98517860769,3.7992364809724677e-10,2491.9839498452234,2.9103830456733704e-10,-74.50111158027721,5.5282001198975195e-11,74.50111158062418,50,OCGT
39852.36,39852.36,0.0,0.0,39852.36,39852.36,0.0,0.0,0.0,0.0,0.0,0.0,50,advanced_biofuel
15202.619999999999,15202.619999999999,0.0,0.0,15202.619999999999,15202.619999999999,0.0,0.0,0.0,0.0,0.0,0.0,50,biogas
1666076.9207999997,1666076.9207999997,0.0,0.0,1666076.9207999997,1666076.9207999997,0.0,0.0,0.0,0.0,0.0,0.0,50,biomass
0.0,131650.81526156355,131650.81526156355,0.0,0.0,130909.72379800548,130909.72379800548,0.0,0.0,741.0914635580702,741.0914635580702,0.0,50,coal
112733.03297059766,112677.76267256109,0.0,55.27029803657205,112733.03297059766,112678.93753374755,0.0,54.09543685012205,0.0,-1.1748611864604754,0.0,1.174861186450002,50,embedded_solar
1961619.8343297502,1959880.5466206942,0.0,1739.2877090560542,1961619.8343297502,1959885.6877244178,0.0,1734.1466053325041,0.0,-5.141103723552078,0.0,5.141103723550032,50,embedded_wind
69346.35560451636,69346.35560451636,2.401967513776526e-13,1.990907438909062e-13,69346.35560451777,69346.35560451777,0.0,2.380873276308648e-13,-1.4115357771515846e-09,-1.4115357771515846e-09,2.401967513776526e-13,-3.8996583739958623e-14,50,landfill_gas
162607.18329441434,137524.0538660557,7180.497720912537,32263.627149271146,162607.1832944143,137204.19563501017,6806.973880138888,32209.961539543052,2.9103830456733704e-11,319.85823104553856,373.5238407736497,53.66560972809384,50,large_hydro
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,load_shedding
4971796.309932882,4971796.309932882,1.1317524695186876e-10,5.275069270282984e-11,4971796.309932882,4971796.309932882,8.239453563874122e-11,7.122480383259244e-11,0.0,0.0,3.078071131312754e-11,-1.8474111129762605e-11,50,nuclear
0.0,225.97951344293034,225.97951344293034,0.0,0.0,389.67191950090984,389.67191950090984,0.0,0.0,-163.6924060579795,-163.6924060579795,0.0,50,oil
5594.79,5594.79,0.0,0.0,5594.79,5594.79,0.0,0.0,0.0,0.0,0.0,0.0,50,sewage_gas
7432.614196355656,0.0,0.0,7432.614196355656,7432.614196355656,0.0,0.0,7432.614196355656,0.0,0.0,0.0,0.0,50,shoreline_wave
56950.73397852503,42850.42811867418,0.0,14100.305859850854,56950.73397852503,42948.22752578034,0.0,14002.506452744687,0.0,-97.7994071061621,0.0,97.79940710616756,50,small_hydro
216498.4235184256,216498.4235184256,0.0,0.0,216498.4235184256,216498.4235184256,0.0,0.0,0.0,0.0,0.0,0.0,50,solar_pv
1794.8104762765497,388.6393699680639,0.0,1406.1711063084858,1794.8104762765497,388.7095357633772,0.0,1406.1009405131726,0.0,-0.0701657953133008,0.0,0.07016579531318712,50,tidal_stream
752407.2,753839.4409397545,1432.2409397545557,0.0,752407.2,753853.4455061563,1446.245506156274,0.0,0.0,-14.004566401825286,-14.004566401718193,0.0,50,waste_to_energy
3113808.658270047,3093812.6467381082,0.0,19996.01153193869,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0.0,-67.66809112112969,-2.501749918337737e-10,67.6680911207477,50,wind_offshore
3942278.9668761874,3641664.373997314,1.5868735658841615e-08,300614.59287888964,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0.0,1807.40583022777,-4.805258413398406e-10,-1807.4058302280027,50,wind_onshore
8717780.673174882,9030972.78872406,816737.4252432528,503545.30969407473,8717743.207060874,9034173.044542454,806431.0120999689,490001.1746183874,37.466114008799195,-3200.255818394944,10306.41314328392,13544.135075687314,70,CCGT
1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,0.0,0.0,0.0,0.0,70,EU_import
64560.96912845272,61994.484067026846,4.531646169425585e-10,2566.485061426328,64560.96912845254,62068.98517860769,3.7992364809724677e-10,2491.9839498452234,1.8189894035458565e-10,-74.50111158084474,7.324096884531173e-11,74.5011115811044,70,OCGT
39852.36,39852.36,0.0,0.0,39852.36,39852.36,0.0,0.0,0.0,0.0,0.0,0.0,70,advanced_biofuel
15202.619999999999,15202.619999999999,0.0,0.0,15202.619999999999,15202.619999999999,0.0,0.0,0.0,0.0,0.0,0.0,70,biogas
1666076.9207999997,1666076.9207999997,0.0,0.0,1666076.9207999997,1666076.9207999997,0.0,0.0,0.0,0.0,0.0,0.0,70,biomass
0.0,131212.37643009055,131212.37643009055,0.0,0.0,130909.72379800548,130909.72379800548,0.0,0.0,302.65263208506803,302.65263208506803,0.0,70,coal
112733.03297059766,112677.76267256109,0.0,55.27029803657205,112733.03297059766,112678.93753374755,0.0,54.09543685012205,0.0,-1.1748611864604754,0.0,1.174861186450002,70,embedded_solar
1961619.8343297502,1959882.9530291958,0.0,1736.8813005544941,1961619.8343297502,1959885.6877244178,0.0,1734.1466053325041,0.0,-2.734695221995935,0.0,2.734695221990023,70,embedded_wind
69346.35560451636,69346.35560451636,2.401967513776526e-13,1.990907438909062e-13,69346.35560451777,69346.35560451777,0.0,2.380873276308648e-13,-1.4115357771515846e-09,-1.4115357771515846e-09,2.401967513776526e-13,-3.8996583739958623e-14,70,landfill_gas
162607.18329441434,137630.86412070045,7258.378773311931,32234.697947025812,162607.1832944143,137204.19563501017,6806.973880138888,32209.961539543052,2.9103830456733704e-11,426.6684856902866,451.4048931730431,24.736407482760114,70,large_hydro
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,load_shedding
4971796.309932882,4971796.309932882,1.8604850993142463e-10,5.275069270282984e-11,4971796.309932882,4971796.309932882,8.239453563874122e-11,7.122480383259244e-11,0.0,0.0,1.0365397429268342e-10,-1.8474111129762605e-11,70,nuclear
0.0,225.9795134413951,225.9795134413951,0.0,0.0,389.67191950090984,389.67191950090984,0.0,0.0,-163.69240605951472,-163.69240605951472,0.0,70,oil
5594.79,5594.79,0.0,0.0,5594.79,5594.79,0.0,0.0,0.0,0.0,0.0,0.0,70,sewage_gas
7432.614196355656,0.0,0.0,7432.614196355656,7432.614196355656,0.0,0.0,7432.614196355656,0.0,0.0,0.0,0.0,70,shoreline_wave
56950.73397852503,42826.00621223751,0.0,14124.72776628752,56950.73397852503,42948.22752578034,0.0,14002.506452744687,0.0,-122.22131354283192,0.0,122.22131354283374,70,small_hydro
216498.4235184256,216498.4235184256,0.0,0.0,216498.4235184256,216498.4235184256,0.0,0.0,0.0,0.0,0.0,0.0,70,solar_pv
1794.8104762765497,388.6393699680639,0.0,1406.1711063084858,1794.8104762765497,388.7095357633772,0.0,1406.1009405131726,0.0,-0.0701657953133008,0.0,0.07016579531318712,70,tidal_stream
752407.2,753853.0039625627,1445.803962562685,0.0,752407.2,753853.4455061563,1446.245506156274,0.0,0.0,-0.44154359365347773,-0.4415435935889036,0.0,70,waste_to_energy
3113808.658270047,3093840.315317583,1.2801137927453965e-10,19968.34295246402,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0.0,-39.9995116465725,-1.2216361255923402e-10,39.999511646077735,70,wind_offshore
3942278.9668761874,3642137.8592344937,1.730322551907193e-08,300141.1076417113,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0.0,2280.8910674075596,9.539640188904741e-10,-2280.8910674063372,70,wind_onshore
8717796.882959072,9030741.338059675,817720.1065685455,504775.65146794054,8717743.207060874,9034173.044542454,806431.0120999689,490001.1746183874,53.67589819803834,-3431.7064827792346,11289.0944685766,14774.476849553117,100,CCGT
1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,0.0,0.0,0.0,0.0,100,EU_import
64560.96912845287,61994.48406702741,4.389590912978747e-10,2566.4850614258867,64560.96912845254,62068.98517860769,3.7992364809724677e-10,2491.9839498452234,3.2741809263825417e-10,-74.50111158027721,5.903544320062792e-11,74.50111158066329,100,OCGT
39852.36,39852.36,0.0,0.0,39852.36,39852.36,0.0,0.0,0.0,0.0,0.0,0.0,100,advanced_biofuel
15202.619999999999,15202.619999999999,0.0,0.0,15202.619999999999,15202.619999999999,0.0,0.0,0.0,0.0,0.0,0.0,100,biogas
1666076.9207999997,1666076.9207999997,0.0,0.0,1666076.9207999997,1666076.9207999997,0.0,0.0,0.0,0.0,0.0,0.0,100,biomass
0.0,131153.50103802016,131153.50103802016,0.0,0.0,130909.72379800548,130909.72379800548,0.0,0.0,243.77724001467868,243.77724001467868,0.0,100,coal
112733.03297059766,112677.76267256109,0.0,55.27029803657205,112733.03297059766,112678.93753374755,0.0,54.09543685012205,0.0,-1.1748611864604754,0.0,1.174861186450002,100,embedded_solar
1961619.8343297502,1959883.7218658866,0.0,1736.112463863591,1961619.8343297502,1959885.6877244178,0.0,1734.1466053325041,0.0,-1.9658585311844945,0.0,1.9658585310869512,100,embedded_wind
69346.35560451643,69346.35560451643,4.6074255521944e-15,1.990907438909062e-13,69346.35560451777,69346.35560451777,0.0,2.380873276308648e-13,-1.3387762010097504e-09,-1.3387762010097504e-09,4.6074255521944e-15,-3.8996583739958623e-14,100,landfill_gas
162607.18329441434,137565.73656729967,7203.079172562792,32244.525899677443,162607.1832944143,137204.19563501017,6806.973880138888,32209.961539543052,2.9103830456733704e-11,361.5409322894993,396.10529242390476,34.56436013439088,100,large_hydro
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,load_shedding
4971796.309932882,4971796.309932882,1.6331114238710143e-10,5.275069270282984e-11,4971796.309932882,4971796.309932882,8.239453563874122e-11,7.122480383259244e-11,0.0,0.0,8.091660674836021e-11,-1.8474111129762605e-11,100,nuclear
0.0,225.9795134429316,225.9795134429316,0.0,0.0,389.67191950090984,389.67191950090984,0.0,0.0,-163.69240605797825,-163.69240605797825,0.0,100,oil
5594.79,5594.79,0.0,0.0,5594.79,5594.79,0.0,0.0,0.0,0.0,0.0,0.0,100,sewage_gas
7432.614196355656,0.0,0.0,7432.614196355656,7432.614196355656,0.0,0.0,7432.614196355656,0.0,0.0,0.0,0.0,100,shoreline_wave
56950.73397852503,42881.54794485376,0.0,14069.186033671274,56950.73397852503,42948.22752578034,0.0,14002.506452744687,0.0,-66.67958092658228,0.0,66.67958092658773,100,small_hydro
216498.4235184256,216498.4235184256,0.0,0.0,216498.4235184256,216498.4235184256,0.0,0.0,0.0,0.0,0.0,0.0,100,solar_pv
1794.8104762765497,389.34472694638487,0.0,1405.4657493301647,1794.8104762765497,388.7095357633772,0.0,1406.1009405131726,0.0,0.6351911830076915,0.0,-0.6351911830079189,100,tidal_stream
752407.2,753856.381591087,1449.1815910869625,0.0,752407.2,753853.4455061563,1446.245506156274,0.0,0.0,2.936084930668585,2.936084930688594,0.0,100,waste_to_energy
3113808.658270047,3093825.1768397843,0.0,19983.48143026272,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0.0,-55.13798944512382,-2.501749918337737e-10,55.13798944477821,100,wind_offshore
3942278.9668761874,3642068.6978662442,1.5411163900580505e-08,300210.26900995884,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0.0,2211.7296991581097,-9.38097599600951e-10,-2211.729699158808,100,wind_onshore
8717807.758082662,9030815.637073144,816761.3741823062,503753.4951918237,8717743.207060874,9034173.044542454,806431.0120999689,490001.1746183874,64.55102178826928,-3357.4074693098664,10330.362082337379,13752.320573436271,120,CCGT
1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,0.0,0.0,0.0,0.0,120,EU_import
64560.96912845273,61994.484067027224,4.3313619357832067e-10,2566.485061425938,64560.96912845254,62068.98517860769,3.7992364809724677e-10,2491.9839498452234,1.8917489796876907e-10,-74.50111158046639,5.32125454810739e-11,74.50111158071468,120,OCGT
39852.36,39852.36,0.0,0.0,39852.36,39852.36,0.0,0.0,0.0,0.0,0.0,0.0,120,advanced_biofuel
15202.619999999999,15202.619999999999,0.0,0.0,15202.619999999999,15202.619999999999,0.0,0.0,0.0,0.0,0.0,0.0,120,biogas
1666076.9207999997,1666076.9207999997,0.0,0.0,1666076.9207999997,1666076.9207999997,0.0,0.0,0.0,0.0,0.0,0.0,120,biomass
0.0,131108.5679335933,131108.5679335933,0.0,0.0,130909.72379800548,130909.72379800548,0.0,0.0,198.8441355878167,198.8441355878167,0.0,120,coal
112733.03297059766,112677.76267256109,0.0,55.27029803657205,112733.03297059766,112678.93753374755,0.0,54.09543685012205,0.0,-1.1748611864604754,0.0,1.174861186450002,120,embedded_solar
1961619.8343297502,1959882.2464138682,0.0,1737.5879158821858,1961619.8343297502,1959885.6877244178,0.0,1734.1466053325041,0.0,-3.441310549620539,0.0,3.4413105496817025,120,embedded_wind
69346.3556045164,69346.3556045164,2.284561428922416e-13,1.990907438909062e-13,69346.35560451777,69346.35560451777,0.0,2.380873276308648e-13,-1.367880031466484e-09,-1.367880031466484e-09,2.284561428922416e-13,-3.8996583739958623e-14,120,landfill_gas
162607.18329441434,137179.06702826137,6824.95486091209,32253.07112706506,162607.1832944143,137204.19563501017,6806.973880138888,32209.961539543052,2.9103830456733704e-11,-25.1286067487963,17.980980773202646,43.10958752200895,120,large_hydro
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,load_shedding
4971796.309932882,4971796.309932882,1.1158363122376613e-10,5.275069270282984e-11,4971796.309932882,4971796.309932882,8.239453563874122e-11,7.122480383259244e-11,0.0,0.0,2.9189095585024916e-11,-1.8474111129762605e-11,120,nuclear
0.0,225.9795134429753,225.9795134429753,0.0,0.0,389.67191950090984,389.67191950090984,0.0,0.0,-163.69240605793453,-163.69240605793453,0.0,120,oil
5594.79,5594.79,0.0,0.0,5594.79,5594.79,0.0,0.0,0.0,0.0,0.0,0.0,120,sewage_gas
7432.614196355656,0.0,0.0,7432.614196355656,7432.614196355656,0.0,0.0,7432.614196355656,0.0,0.0,0.0,0.0,120,shoreline_wave
56950.73397852503,42871.86780267836,0.0,14078.866175846671,56950.73397852503,42948.22752578034,0.0,14002.506452744687,0.0,-76.35972310198122,0.0,76.35972310198486,120,small_hydro
216498.4235184256,216498.4235184256,0.0,0.0,216498.4235184256,216498.4235184256,0.0,0.0,0.0,0.0,0.0,0.0,120,solar_pv
1794.8104762765497,388.9668715976716,0.0,1405.843604678878,1794.8104762765497,388.7095357633772,0.0,1406.1009405131726,0.0,0.2573358342944516,0.0,-0.25733583429473583,120,tidal_stream
752407.2,753862.337554286,1455.1375542860274,0.0,752407.2,753853.4455061563,1446.245506156274,0.0,0.0,8.892048129695468,8.892048129753448,0.0,120,waste_to_energy
3113808.658270047,3093847.6749047874,0.0,19960.98336525938,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0.0,-32.63992444192991,-2.501749918337737e-10,32.63992444143878,120,wind_offshore
3942278.9668761874,3642432.7930742777,1.5548646814522726e-08,299846.1738019255,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0.0,2575.8249071915634,-8.006146856587293e-10,-2575.8249071921455,120,wind_onshore
